geo_code,geo_label,year,age_group,pct_above_basic_digital_skills
EU27_2020,European Union - 27 countries (from 2020),2021,All individuals (16-74),26.46
EU27_2020,European Union - 27 countries (from 2020),2023,All individuals (16-74),27.32
EU27_2020,European Union - 27 countries (from 2020),2025,All individuals (16-74),31.43
EU27_2020,European Union - 27 countries (from 2020),2021,16-24,38.91
EU27_2020,European Union - 27 countries (from 2020),2023,16-24,38.07
EU27_2020,European Union - 27 countries (from 2020),2025,16-24,43.05
EU27_2020,European Union - 27 countries (from 2020),2021,25-54,32.11
EU27_2020,European Union - 27 countries (from 2020),2023,25-54,33.18
EU27_2020,European Union - 27 countries (from 2020),2025,25-54,37.99
EU27_2020,European Union - 27 countries (from 2020),2021,55-74,12.98
EU27_2020,European Union - 27 countries (from 2020),2023,55-74,14.21
EU27_2020,European Union - 27 countries (from 2020),2025,55-74,17.05
EA,Euro area,2021,All individuals (16-74),28.22
EA,Euro area,2023,All individuals (16-74),28.71
EA,Euro area,2025,All individuals (16-74),32.95
EA,Euro area,2021,16-24,40.74
EA,Euro area,2023,16-24,39.38
EA,Euro area,2025,16-24,43.88
EA,Euro area,2021,25-54,34.07
EA,Euro area,2023,25-54,34.67
EA,Euro area,2025,25-54,39.71
EA,Euro area,2021,55-74,14.63
EA,Euro area,2023,55-74,15.58
EA,Euro area,2025,55-74,18.76
AL,Albania,2021,16-24,10.16
AL,Albania,2023,16-24,19.08
AL,Albania,2025,16-24,19.59
AL,Albania,2021,25-54,4.18
AL,Albania,2023,25-54,8.83
AL,Albania,2025,25-54,10.17
AL,Albania,2021,55-74,0.12
AL,Albania,2023,55-74,0.4
AL,Albania,2025,55-74,1.19
AL,Albania,2021,All individuals (16-74),4.01
AL,Albania,2023,All individuals (16-74),7.77
AL,Albania,2025,All individuals (16-74),8.07
AT,Austria,2021,16-24,42.83
AT,Austria,2023,16-24,41.69
AT,Austria,2025,16-24,40.06
AT,Austria,2021,25-54,39.36
AT,Austria,2023,25-54,38.0
AT,Austria,2025,25-54,40.82
AT,Austria,2021,55-74,19.31
AT,Austria,2023,55-74,18.68
AT,Austria,2025,55-74,21.89
AT,Austria,2021,All individuals (16-74),33.28
AT,Austria,2023,All individuals (16-74),32.04
AT,Austria,2025,All individuals (16-74),34.26
BA,Bosnia and Herzegovina,2021,16-24,11.21
BA,Bosnia and Herzegovina,2023,16-24,23.28
BA,Bosnia and Herzegovina,2025,16-24,30.28
BA,Bosnia and Herzegovina,2021,25-54,8.41
BA,Bosnia and Herzegovina,2023,25-54,10.9
BA,Bosnia and Herzegovina,2025,25-54,14.64
BA,Bosnia and Herzegovina,2021,55-74,1.0
BA,Bosnia and Herzegovina,2023,55-74,0.47
BA,Bosnia and Herzegovina,2025,55-74,1.64
BA,Bosnia and Herzegovina,2021,All individuals (16-74),5.35
BA,Bosnia and Herzegovina,2023,All individuals (16-74),6.88
BA,Bosnia and Herzegovina,2025,All individuals (16-74),9.75
BE,Belgium,2021,16-24,32.03
BE,Belgium,2023,16-24,32.99
BE,Belgium,2025,16-24,35.77
BE,Belgium,2021,25-54,33.43
BE,Belgium,2023,25-54,34.78
BE,Belgium,2025,25-54,36.75
BE,Belgium,2021,55-74,12.03
BE,Belgium,2023,55-74,15.67
BE,Belgium,2025,55-74,16.31
BE,Belgium,2021,All individuals (16-74),26.34
BE,Belgium,2023,All individuals (16-74),28.26
BE,Belgium,2025,All individuals (16-74),29.69
BG,Bulgaria,2021,16-24,14.8
BG,Bulgaria,2023,16-24,12.3
BG,Bulgaria,2025,16-24,16.67
BG,Bulgaria,2021,25-54,10.17
BG,Bulgaria,2023,25-54,11.05
BG,Bulgaria,2025,25-54,15.41
BG,Bulgaria,2021,55-74,1.97
BG,Bulgaria,2023,55-74,1.68
BG,Bulgaria,2025,55-74,5.18
BG,Bulgaria,2021,All individuals (16-74),7.82
BG,Bulgaria,2023,All individuals (16-74),7.73
BG,Bulgaria,2025,All individuals (16-74),11.77
CH,Switzerland,2021,16-24,48.4
CH,Switzerland,2023,16-24,48.34
CH,Switzerland,2025,16-24,51.6
CH,Switzerland,2021,25-54,46.57
CH,Switzerland,2023,25-54,48.84
CH,Switzerland,2025,25-54,51.91
CH,Switzerland,2021,55-74,25.95
CH,Switzerland,2023,55-74,29.78
CH,Switzerland,2025,55-74,32.07
CH,Switzerland,2021,All individuals (16-74),40.26
CH,Switzerland,2023,All individuals (16-74),42.69
CH,Switzerland,2025,All individuals (16-74),45.47
CY,Cyprus,2021,16-24,32.29
CY,Cyprus,2023,16-24,31.97
CY,Cyprus,2025,16-24,18.97
CY,Cyprus,2021,25-54,25.15
CY,Cyprus,2023,25-54,31.26
CY,Cyprus,2025,25-54,23.58
CY,Cyprus,2021,55-74,6.55
CY,Cyprus,2023,55-74,8.78
CY,Cyprus,2025,55-74,7.43
CY,Cyprus,2021,All individuals (16-74),20.95
CY,Cyprus,2023,All individuals (16-74),24.96
CY,Cyprus,2025,All individuals (16-74),18.26
CZ,Czechia,2021,16-24,42.3
CZ,Czechia,2023,16-24,55.31
CZ,Czechia,2025,16-24,63.63
CZ,Czechia,2021,25-54,29.73
CZ,Czechia,2023,25-54,43.14
CZ,Czechia,2025,25-54,44.45
CZ,Czechia,2021,55-74,7.83
CZ,Czechia,2023,55-74,14.91
CZ,Czechia,2025,55-74,14.69
CZ,Czechia,2021,All individuals (16-74),24.06
CZ,Czechia,2023,All individuals (16-74),35.48
CZ,Czechia,2025,All individuals (16-74),37.34
DE,Germany,2021,16-24,24.01
DE,Germany,2023,16-24,21.7
DE,Germany,2025,16-24,25.62
DE,Germany,2021,25-54,23.26
DE,Germany,2023,25-54,24.85
DE,Germany,2025,25-54,29.59
DE,Germany,2021,55-74,10.9
DE,Germany,2023,55-74,11.83
DE,Germany,2025,55-74,16.2
DE,Germany,2021,All individuals (16-74),18.84
DE,Germany,2023,All individuals (16-74),19.79
DE,Germany,2025,All individuals (16-74),24.21
DK,Denmark,2021,16-24,42.88
DK,Denmark,2023,16-24,43.65
DK,Denmark,2025,16-24,64.65
DK,Denmark,2021,25-54,45.29
DK,Denmark,2023,25-54,46.36
DK,Denmark,2025,25-54,60.55
DK,Denmark,2021,55-74,22.06
DK,Denmark,2023,55-74,26.12
DK,Denmark,2025,55-74,35.6
DK,Denmark,2021,All individuals (16-74),37.37
DK,Denmark,2023,All individuals (16-74),39.37
