geo_code,geo_label,year,age_group,pct_basic_or_above_digital_skills,flag,flag_desc
EU27_2020,European Union - 27 countries (from 2020),2021,All individuals (16-74),53.92,,
EU27_2020,European Union - 27 countries (from 2020),2023,All individuals (16-74),55.56,,
EU27_2020,European Union - 27 countries (from 2020),2025,All individuals (16-74),60.4,,
EA,Euro area,2021,All individuals (16-74),56.34,,
EA,Euro area,2023,All individuals (16-74),57.57,,
EA,Euro area,2025,All individuals (16-74),62.6,,
BE,Belgium,2021,All individuals (16-74),54.23,,
BE,Belgium,2023,All individuals (16-74),59.39,,
BE,Belgium,2025,All individuals (16-74),61.22,,
BG,Bulgaria,2021,All individuals (16-74),31.18,,
BG,Bulgaria,2023,All individuals (16-74),35.52,,
BG,Bulgaria,2025,All individuals (16-74),38.26,,
CZ,Czechia,2021,All individuals (16-74),59.69,,
CZ,Czechia,2023,All individuals (16-74),69.11,,
CZ,Czechia,2025,All individuals (16-74),70.45,,
DK,Denmark,2021,All individuals (16-74),68.65,,
DK,Denmark,2023,All individuals (16-74),69.62,,
DK,Denmark,2025,All individuals (16-74),81.45,,
DE,Germany,2021,All individuals (16-74),48.92,,
DE,Germany,2023,All individuals (16-74),52.22,,
DE,Germany,2025,All individuals (16-74),59.55,,
EE,Estonia,2021,All individuals (16-74),56.37,,
EE,Estonia,2023,All individuals (16-74),62.61,,
EE,Estonia,2025,All individuals (16-74),62.52,,
IE,Ireland,2021,All individuals (16-74),70.49,,
IE,Ireland,2023,All individuals (16-74),72.91,,
IE,Ireland,2025,All individuals (16-74),82.82,,
EL,Greece,2021,All individuals (16-74),52.48,,
EL,Greece,2023,All individuals (16-74),52.4,,
EL,Greece,2025,All individuals (16-74),50.96,,
ES,Spain,2021,All individuals (16-74),64.16,,
ES,Spain,2023,All individuals (16-74),66.18,,
ES,Spain,2025,All individuals (16-74),66.5,,
FR,France,2021,All individuals (16-74),61.96,,
FR,France,2023,All individuals (16-74),59.67,,
FR,France,2025,All individuals (16-74),65.74,,
HR,Croatia,2021,All individuals (16-74),63.37,,
HR,Croatia,2023,All individuals (16-74),58.95,,
HR,Croatia,2025,All individuals (16-74),63.38,,
IT,Italy,2021,All individuals (16-74),45.6,,
IT,Italy,2023,All individuals (16-74),45.75,,
IT,Italy,2025,All individuals (16-74),54.27,,
CY,Cyprus,2021,All individuals (16-74),50.21,,
CY,Cyprus,2023,All individuals (16-74),49.46,,
CY,Cyprus,2025,All individuals (16-74),55.75,,
LV,Latvia,2021,All individuals (16-74),50.8,,
LV,Latvia,2023,All individuals (16-74),45.34,,
LV,Latvia,2025,All individuals (16-74),48.43,,
LT,Lithuania,2021,All individuals (16-74),48.84,,
LT,Lithuania,2023,All individuals (16-74),52.91,,
LT,Lithuania,2025,All individuals (16-74),53.8,,
LU,Luxembourg,2021,All individuals (16-74),63.79,,
LU,Luxembourg,2023,All individuals (16-74),60.14,,
LU,Luxembourg,2025,All individuals (16-74),62.4,,
HU,Hungary,2021,All individuals (16-74),49.09,,
HU,Hungary,2023,All individuals (16-74),58.89,,
HU,Hungary,2025,All individuals (16-74),57.32,,
MT,Malta,2021,All individuals (16-74),61.23,,
MT,Malta,2023,All individuals (16-74),62.78,,
MT,Malta,2025,All individuals (16-74),66.8,,
NL,Netherlands,2021,All individuals (16-74),78.94,,
NL,Netherlands,2023,All individuals (16-74),82.7,,
NL,Netherlands,2025,All individuals (16-74),83.61,,
AT,Austria,2021,All individuals (16-74),63.33,,
AT,Austria,2023,All individuals (16-74),64.68,,
AT,Austria,2025,All individuals (16-74),69.77,,
PL,Poland,2021,All individuals (16-74),42.93,,
PL,Poland,2023,All individuals (16-74),44.3,,
PL,Poland,2025,All individuals (16-74),50.42,,
PT,Portugal,2021,All individuals (16-74),55.31,,
PT,Portugal,2023,All individuals (16-74),55.97,,
PT,Portugal,2025,All individuals (16-74),59.15,,
RO,Romania,2021,All individuals (16-74),27.82,,
RO,Romania,2023,All individuals (16-74),27.73,,
RO,Romania,2025,All individuals (16-74),31.84,,
SI,Slovenia,2021,All individuals (16-74),49.67,,
SI,Slovenia,2023,All individuals (16-74),46.7,,
SI,Slovenia,2025,All individuals (16-74),46.5,,
SK,Slovakia,2021,All individuals (16-74),55.18,,
SK,Slovakia,2023,All individuals (16-74),51.31,,
SK,Slovakia,2025,All individuals (16-74),53.56,,
FI,Finland,2021,All individuals (16-74),79.18,,
FI,Finland,2023,All individuals (16-74),81.99,,
FI,Finland,2025,All individuals (16-74),80.98,,
SE,Sweden,2021,All individuals (16-74),66.6,,
SE,Sweden,2023,All individuals (16-74),66.44,,
SE,Sweden,2025,All individuals (16-74),69.99,,
IS,Iceland,2021,All individuals (16-74),80.99,,
NO,Norway,2021,All individuals (16-74),78.71,,
NO,Norway,2023,All individuals (16-74),81.09,,
NO,Norway,2025,All individuals (16-74),79.8,,
CH,Switzerland,2021,All individuals (16-74),77.79,,
CH,Switzerland,2023,All individuals (16-74),77.52,,
CH,Switzerland,2025,All individuals (16-74),78.01,,
BA,Bosnia and Herzegovina,2021,All individuals (16-74),34.65,,
BA,Bosnia and Herzegovina,2023,All individuals (16-74),30.08,,
BA,Bosnia and Herzegovina,2025,All individuals (16-74),36.25,,
ME,Montenegro,2021,All individuals (16-74),47.21,,
ME,Montenegro,2023,All individuals (16-74),52.02,,
ME,Montenegro,2025,All individuals (16-74),44.2,,
MK,North Macedonia,2021,All individuals (16-74),34.62,,
MK,North Macedonia,2025,All individuals (16-74),28.5,,
AL,Albania,2021,All individuals (16-74),23.8,,
AL,Albania,2023,All individuals (16-74),23.32,,
AL,Albania,2025,All individuals (16-74),27.65,,
RS,Serbia,2021,All individuals (16-74),41.3,,
RS,Serbia,2023,All individuals (16-74),33.61,,
RS,Serbia,2025,All individuals (16-74),42.02,,
TR,Türkiye,2021,All individuals (16-74),30.12,,
TR,Türkiye,2023,All individuals (16-74),33.11,,
TR,Türkiye,2025,All individuals (16-74),31.49,,
XK,Kosovo*,2025,All individuals (16-74),75.59,,
EU27_2020,European Union - 27 countries (from 2020),2021,16-24,71.17,,
EU27_2020,European Union - 27 countries (from 2020),2023,16-24,69.98,,
EU27_2020,European Union - 27 countries (from 2020),2025,16-24,74.55,,
EA,Euro area,2021,16-24,72.3,,
EA,Euro area,2023,16-24,71.05,,
EA,Euro area,2025,16-24,75.18,,
BE,Belgium,2021,16-24,67.08,,
BE,Belgium,2023,16-24,67.98,,
BE,Belgium,2025,16-24,73.09,,
BG,Bulgaria,2021,16-24,51.0,,
BG,Bulgaria,2023,16-24,53.15,,
BG,Bulgaria,2025,16-24,52.81,,
CZ,Czechia,2021,16-24,83.23,,
CZ,Czechia,2023,16-24,92.71,,
CZ,Czechia,2025,16-24,91.68,,
DK,Denmark,2021,16-24,81.06,,
DK,Denmark,2023,16-24,79.15,,
DK,Denmark,2025,16-24,92.06,,
DE,Germany,2021,16-24,57.68,,
DE,Germany,2023,16-24,55.69,,
DE,Germany,2025,16-24,62.34,,
EE,Estonia,2021,16-24,79.15,,
EE,Estonia,2023,16-24,86.84,,
EE,Estonia,2025,16-24,80.91,,
IE,Ireland,2023,16-24,69.56,,
IE,Ireland,2025,16-24,85.5,,
EL,Greece,2021,16-24,87.78,,
EL,Greece,2023,16-24,77.64,,
EL,Greece,2025,16-24,79.24,,
ES,Spain,2021,16-24,84.87,,
ES,Spain,2023,16-24,83.56,,
ES,Spain,2025,16-24,82.55,,
FR,France,2021,16-24,80.5,,
FR,France,2023,16-24,76.7,,
FR,France,2025,16-24,80.42,,
HR,Croatia,2021,16-24,87.79,,
HR,Croatia,2023,16-24,86.33,,
HR,Croatia,2025,16-24,89.09,,
IT,Italy,2021,16-24,60.03,,
IT,Italy,2023,16-24,59.07,,
IT,Italy,2025,16-24,68.5,,
CY,Cyprus,2021,16-24,73.11,,
CY,Cyprus,2023,16-24,71.82,,
CY,Cyprus,2025,16-24,63.86,,
LV,Latvia,2021,16-24,79.65,,
LV,Latvia,2023,16-24,65.74,,
LV,Latvia,2025,16-24,65.36,,
LT,Lithuania,2021,16-24,73.67,,
LT,Lithuania,2023,16-24,81.28,,
LT,Lithuania,2025,16-24,80.66,,
LU,Luxembourg,2021,16-24,68.9,,
LU,Luxembourg,2023,16-24,59.66,,
LU,Luxembourg,2025,16-24,63.62,,
HU,Hungary,2021,16-24,68.57,,
HU,Hungary,2023,16-24,76.86,,
HU,Hungary,2025,16-24,76.32,,
MT,Malta,2021,16-24,93.3,,
MT,Malta,2023,16-24,93.45,,
MT,Malta,2025,16-24,91.52,,
NL,Netherlands,2021,16-24,85.56,,
NL,Netherlands,2023,16-24,91.13,,
NL,Netherlands,2025,16-24,88.51,,
AT,Austria,2021,16-24,79.14,,
AT,Austria,2023,16-24,74.41,,
AT,Austria,2025,16-24,78.04,,
PL,Poland,2021,16-24,68.55,,
PL,Poland,2023,16-24,62.56,,
PL,Poland,2025,16-24,73.64,,
PT,Portugal,2021,16-24,86.2,,
PT,Portugal,2023,16-24,82.64,,
PT,Portugal,2025,16-24,83.37,,
RO,Romania,2021,16-24,47.47,,
RO,Romania,2023,16-24,47.19,,
RO,Romania,2025,16-24,53.28,,
SI,Slovenia,2021,16-24,63.44,,
SI,Slovenia,2023,16-24,73.07,,
SI,Slovenia,2025,16-24,67.45,,
SK,Slovakia,2021,16-24,71.69,,
SK,Slovakia,2023,16-24,70.58,,
SK,Slovakia,2025,16-24,80.53,,
FI,Finland,2021,16-24,93.05,,
FI,Finland,2023,16-24,93.77,,
FI,Finland,2025,16-24,89.87,,
SE,Sweden,2021,16-24,76.21,,
SE,Sweden,2023,16-24,67.57,,
SE,Sweden,2025,16-24,74.16,,
IS,Iceland,2021,16-24,90.68,,
NO,Norway,2021,16-24,85.92,,
NO,Norway,2023,16-24,86.11,,
NO,Norway,2025,16-24,81.03,,
CH,Switzerland,2021,16-24,88.09,,
CH,Switzerland,2023,16-24,88.01,,
CH,Switzerland,2025,16-24,84.8,,
BA,Bosnia and Herzegovina,2021,16-24,76.96,,
BA,Bosnia and Herzegovina,2023,16-24,72.99,,
BA,Bosnia and Herzegovina,2025,16-24,70.78,,
ME,Montenegro,2021,16-24,72.8,,
ME,Montenegro,2023,16-24,72.7,,
ME,Montenegro,2025,16-24,62.4,,
MK,North Macedonia,2021,16-24,59.44,,
MK,North Macedonia,2025,16-24,44.47,,
AL,Albania,2021,16-24,51.3,,
AL,Albania,2023,16-24,50.78,,
AL,Albania,2025,16-24,61.15,,
RS,Serbia,2021,16-24,66.22,,
RS,Serbia,2023,16-24,48.52,,
RS,Serbia,2025,16-24,77.05,,
TR,Türkiye,2021,16-24,51.69,,
TR,Türkiye,2023,16-24,53.04,,
TR,Türkiye,2025,16-24,46.33,,
XK,Kosovo*,2025,16-24,93.13,,
EU27_2020,European Union - 27 countries (from 2020),2021,25-54,62.14,,
EU27_2020,European Union - 27 countries (from 2020),2023,25-54,64.0,,
EU27_2020,European Union - 27 countries (from 2020),2025,25-54,68.57,,
EA,Euro area,2021,25-54,64.47,,
EA,Euro area,2023,25-54,65.77,,
EA,Euro area,2025,25-54,70.43,,
BE,Belgium,2021,25-54,62.95,,
BE,Belgium,2023,25-54,66.23,,
BE,Belgium,2025,25-54,67.77,,
BG,Bulgaria,2021,25-54,39.06,,
BG,Bulgaria,2023,25-54,46.1,,
BG,Bulgaria,2025,25-54,48.42,,
CZ,Czechia,2021,25-54,70.58,,
CZ,Czechia,2023,25-54,79.7,,
CZ,Czechia,2025,25-54,82.24,,
DK,Denmark,2021,25-54,75.59,,
DK,Denmark,2023,25-54,75.72,,
DK,Denmark,2025,25-54,86.89,,
DE,Germany,2021,25-54,55.9,,
DE,Germany,2023,25-54,60.22,,
DE,Germany,2025,25-54,66.43,,
EE,Estonia,2021,25-54,68.26,,
EE,Estonia,2023,25-54,73.47,,
EE,Estonia,2025,25-54,74.65,,
IE,Ireland,2021,25-54,79.76,,
IE,Ireland,2023,25-54,85.24,,
IE,Ireland,2025,25-54,85.37,,
EL,Greece,2021,25-54,65.33,,
EL,Greece,2023,25-54,64.63,,
EL,Greece,2025,25-54,58.78,,
