geo_code,geo_label,year,age_group,skill_area,pct_basic_or_above
EU27_2020,European Union - 27 countries (from 2020),2025,All individuals (16-74),Information and data literacy,86.47
EA,Euro area,2025,All individuals (16-74),Information and data literacy,86.72
BE,Belgium,2025,All individuals (16-74),Information and data literacy,89.2
BG,Bulgaria,2025,All individuals (16-74),Information and data literacy,73.64
CZ,Czechia,2025,All individuals (16-74),Information and data literacy,92.77
DK,Denmark,2025,All individuals (16-74),Information and data literacy,97.03
DE,Germany,2025,All individuals (16-74),Information and data literacy,87.86
EE,Estonia,2025,All individuals (16-74),Information and data literacy,91.29
IE,Ireland,2025,All individuals (16-74),Information and data literacy,96.62
EL,Greece,2025,All individuals (16-74),Information and data literacy,86.25
ES,Spain,2025,All individuals (16-74),Information and data literacy,89.84
FR,France,2025,All individuals (16-74),Information and data literacy,85.26
HR,Croatia,2025,All individuals (16-74),Information and data literacy,83.64
IT,Italy,2025,All individuals (16-74),Information and data literacy,79.06
CY,Cyprus,2025,All individuals (16-74),Information and data literacy,91.8
LV,Latvia,2025,All individuals (16-74),Information and data literacy,83.57
LT,Lithuania,2025,All individuals (16-74),Information and data literacy,85.99
LU,Luxembourg,2025,All individuals (16-74),Information and data literacy,90.65
HU,Hungary,2025,All individuals (16-74),Information and data literacy,86.77
MT,Malta,2025,All individuals (16-74),Information and data literacy,90.63
NL,Netherlands,2025,All individuals (16-74),Information and data literacy,97.48
AT,Austria,2025,All individuals (16-74),Information and data literacy,87.29
PL,Poland,2025,All individuals (16-74),Information and data literacy,84.15
PT,Portugal,2025,All individuals (16-74),Information and data literacy,84.15
RO,Romania,2025,All individuals (16-74),Information and data literacy,79.43
SI,Slovenia,2025,All individuals (16-74),Information and data literacy,88.42
SK,Slovakia,2025,All individuals (16-74),Information and data literacy,84.78
FI,Finland,2025,All individuals (16-74),Information and data literacy,96.97
SE,Sweden,2025,All individuals (16-74),Information and data literacy,95.11
NO,Norway,2025,All individuals (16-74),Information and data literacy,97.29
CH,Switzerland,2025,All individuals (16-74),Information and data literacy,95.04
BA,Bosnia and Herzegovina,2025,All individuals (16-74),Information and data literacy,81.63
ME,Montenegro,2025,All individuals (16-74),Information and data literacy,87.34
MK,North Macedonia,2025,All individuals (16-74),Information and data literacy,72.82
AL,Albania,2025,All individuals (16-74),Information and data literacy,77.37
RS,Serbia,2025,All individuals (16-74),Information and data literacy,87.09
TR,Türkiye,2025,All individuals (16-74),Information and data literacy,76.48
XK,Kosovo*,2025,All individuals (16-74),Information and data literacy,85.71
EU27_2020,European Union - 27 countries (from 2020),2025,All individuals (16-74),Communication and collaboration,92.07
EA,Euro area,2025,All individuals (16-74),Communication and collaboration,92.77
BE,Belgium,2025,All individuals (16-74),Communication and collaboration,94.64
BG,Bulgaria,2025,All individuals (16-74),Communication and collaboration,85.34
CZ,Czechia,2025,All individuals (16-74),Communication and collaboration,92.8
DK,Denmark,2025,All individuals (16-74),Communication and collaboration,98.9
DE,Germany,2025,All individuals (16-74),Communication and collaboration,93.06
EE,Estonia,2025,All individuals (16-74),Communication and collaboration,90.96
IE,Ireland,2025,All individuals (16-74),Communication and collaboration,99.34
EL,Greece,2025,All individuals (16-74),Communication and collaboration,87.85
ES,Spain,2025,All individuals (16-74),Communication and collaboration,96.0
FR,France,2025,All individuals (16-74),Communication and collaboration,93.67
HR,Croatia,2025,All individuals (16-74),Communication and collaboration,84.31
IT,Italy,2025,All individuals (16-74),Communication and collaboration,87.97
CY,Cyprus,2025,All individuals (16-74),Communication and collaboration,92.28
LV,Latvia,2025,All individuals (16-74),Communication and collaboration,92.38
LT,Lithuania,2025,All individuals (16-74),Communication and collaboration,86.27
LU,Luxembourg,2025,All individuals (16-74),Communication and collaboration,96.75
HU,Hungary,2025,All individuals (16-74),Communication and collaboration,89.57
MT,Malta,2025,All individuals (16-74),Communication and collaboration,95.41
NL,Netherlands,2025,All individuals (16-74),Communication and collaboration,99.52
AT,Austria,2025,All individuals (16-74),Communication and collaboration,93.96
PL,Poland,2025,All individuals (16-74),Communication and collaboration,84.75
PT,Portugal,2025,All individuals (16-74),Communication and collaboration,88.17
RO,Romania,2025,All individuals (16-74),Communication and collaboration,92.04
SI,Slovenia,2025,All individuals (16-74),Communication and collaboration,89.65
SK,Slovakia,2025,All individuals (16-74),Communication and collaboration,89.67
FI,Finland,2025,All individuals (16-74),Communication and collaboration,97.14
SE,Sweden,2025,All individuals (16-74),Communication and collaboration,96.88
NO,Norway,2025,All individuals (16-74),Communication and collaboration,97.87
CH,Switzerland,2025,All individuals (16-74),Communication and collaboration,98.23
BA,Bosnia and Herzegovina,2025,All individuals (16-74),Communication and collaboration,89.92
ME,Montenegro,2025,All individuals (16-74),Communication and collaboration,94.02
MK,North Macedonia,2025,All individuals (16-74),Communication and collaboration,91.3
AL,Albania,2025,All individuals (16-74),Communication and collaboration,86.88
RS,Serbia,2025,All individuals (16-74),Communication and collaboration,88.79
