geo_code,geo_label,internet_use_2021,digital_skills_2021,internet_use_2023,digital_skills_2023,internet_use_2025,digital_skills_2025
AL,Albania,79.37,23.8,83.14,23.32,87.18,27.65
AT,Austria,92.53,63.33,95.33,64.68,95.3,69.77
BE,Belgium,92.79,54.23,94.63,59.39,96.46,61.22
BA,Bosnia and Herzegovina,75.68,34.65,83.38,30.08,90.11,36.25
BG,Bulgaria,75.27,31.18,80.39,35.52,86.85,38.26
HR,Croatia,81.25,63.37,83.4,58.95,85.9,63.38
CY,Cyprus,90.76,50.21,91.22,49.46,93.79,55.75
CZ,Czechia,88.85,59.69,92.04,69.11,94.52,70.45
DK,Denmark,98.89,68.65,98.8,69.62,99.71,81.45
EE,Estonia,90.98,56.37,93.2,62.61,94.86,62.52
FI,Finland,96.71,79.18,97.7,81.99,98.08,80.98
FR,France,91.55,61.96,92.83,59.67,94.98,65.74
DE,Germany,91.43,48.92,92.48,52.22,94.58,59.55
EL,Greece,78.49,52.48,85.01,52.4,89.15,50.96
HU,Hungary,88.64,49.09,91.45,58.89,92.8,57.32
IS,Iceland,99.44,80.99,,,,
IE,Ireland,98.93,70.49,93.27,72.91,99.78,82.82
IT,Italy,81.59,45.6,86.92,45.75,90.32,54.27
XK,Kosovo*,,,,,98.47,75.59
LV,Latvia,91.3,50.8,92.33,45.34,94.53,48.43
LT,Lithuania,86.93,48.84,88.5,52.91,89.3,53.8
LU,Luxembourg,98.66,63.79,99.35,60.14,99.13,62.4
MT,Malta,87.47,61.23,92.81,62.78,96.01,66.8
ME,Montenegro,82.22,47.21,88.36,52.02,94.22,44.2
NL,Netherlands,94.52,78.94,99.15,82.7,99.71,83.61
MK,North Macedonia,86.4,34.62,,,92.14,28.5
NO,Norway,99.42,78.71,99.68,81.09,98.82,79.8
PL,Poland,85.37,42.93,86.41,44.3,89.65,50.42
PT,Portugal,82.31,55.31,85.79,55.97,89.45,59.15
RO,Romania,83.59,27.82,89.2,27.73,93.15,31.84
RS,Serbia,81.17,41.3,85.36,33.61,90.04,42.02
SK,Slovakia,88.93,55.18,87.21,51.31,92.49,53.56
SI,Slovenia,89.0,49.67,90.38,46.7,91.57,46.5
ES,Spain,93.9,64.16,95.45,66.18,96.34,66.5
SE,Sweden,96.76,66.6,97.59,66.44,98.25,69.99
CH,Switzerland,98.14,77.79,99.25,77.52,98.92,78.01
TR,Türkiye,81.41,30.12,85.96,33.11,89.77,31.49
