geo_code,geo_label,year,pct_households_with_internet,flag,flag_desc
EU27_2020,European Union - 27 countries (from 2020),2007,52.99,,
EU27_2020,European Union - 27 countries (from 2020),2008,58.6,,
EU27_2020,European Union - 27 countries (from 2020),2009,64.15,,
EU27_2020,European Union - 27 countries (from 2020),2010,68.46,,
EU27_2020,European Union - 27 countries (from 2020),2011,71.55,,
EU27_2020,European Union - 27 countries (from 2020),2012,74.54,,
EU27_2020,European Union - 27 countries (from 2020),2013,77.17,,
EU27_2020,European Union - 27 countries (from 2020),2014,79.61,,
EU27_2020,European Union - 27 countries (from 2020),2015,81.37,,
EU27_2020,European Union - 27 countries (from 2020),2016,84.21,,
EU27_2020,European Union - 27 countries (from 2020),2017,85.81,,
EU27_2020,European Union - 27 countries (from 2020),2018,87.94,,
EU27_2020,European Union - 27 countries (from 2020),2019,89.68,,
EU27_2020,European Union - 27 countries (from 2020),2020,91.3,e,estimated
EU27_2020,European Union - 27 countries (from 2020),2021,92.3,b,break in time series
EU27_2020,European Union - 27 countries (from 2020),2022,92.44,,
EU27_2020,European Union - 27 countries (from 2020),2023,93.09,,
EU27_2020,European Union - 27 countries (from 2020),2024,94.19,,
EU27_2020,European Union - 27 countries (from 2020),2025,94.76,,
EU28,European Union - 28 countries (2013-2020),2007,54.65,,
EU28,European Union - 28 countries (2013-2020),2008,60.13,,
EU28,European Union - 28 countries (2013-2020),2009,65.69,,
EU28,European Union - 28 countries (2013-2020),2010,69.85,,
EU28,European Union - 28 countries (2013-2020),2011,72.89,,
EU28,European Union - 28 countries (2013-2020),2012,76.05,,
EU28,European Union - 28 countries (2013-2020),2013,78.54,,
EU28,European Union - 28 countries (2013-2020),2014,80.99,,
EU28,European Union - 28 countries (2013-2020),2015,82.6,,
EU28,European Union - 28 countries (2013-2020),2016,85.38,,
EU28,European Union - 28 countries (2013-2020),2017,86.86,,
EU28,European Union - 28 countries (2013-2020),2018,88.8,,
EU28,European Union - 28 countries (2013-2020),2019,90.48,,
EU27_2007,European Union - 27 countries (2007-2013),2004,40.55,,
EU27_2007,European Union - 27 countries (2007-2013),2005,48.37,,
EU27_2007,European Union - 27 countries (2007-2013),2006,49.09,,
EU27_2007,European Union - 27 countries (2007-2013),2007,54.76,,
EU27_2007,European Union - 27 countries (2007-2013),2008,60.25,,
EU27_2007,European Union - 27 countries (2007-2013),2009,65.81,,
EU27_2007,European Union - 27 countries (2007-2013),2010,69.95,,
EU27_2007,European Union - 27 countries (2007-2013),2011,72.98,,
EU27_2007,European Union - 27 countries (2007-2013),2012,76.12,,
EU27_2007,European Union - 27 countries (2007-2013),2013,78.65,,
EU27_2007,European Union - 27 countries (2007-2013),2014,81.08,,
EU27_2007,European Union - 27 countries (2007-2013),2015,82.64,,
EU27_2007,European Union - 27 countries (2007-2013),2016,85.44,,
EU27_2007,European Union - 27 countries (2007-2013),2017,86.93,,
EU27_2007,European Union - 27 countries (2007-2013),2018,88.85,,
EU25,European Union - 25 countries (2004-2006),2004,42.66,,
EU25,European Union - 25 countries (2004-2006),2005,48.37,,
EU25,European Union - 25 countries (2004-2006),2006,50.99,,
EU25,European Union - 25 countries (2004-2006),2007,56.6,,
EU25,European Union - 25 countries (2004-2006),2008,62.0,,
EU25,European Union - 25 countries (2004-2006),2009,67.45,,
EU25,European Union - 25 countries (2004-2006),2010,71.59,,
EU15,European Union - 15 countries (1995-2004),2002,38.69,,
EU15,European Union - 15 countries (1995-2004),2003,42.8,,
EU15,European Union - 15 countries (1995-2004),2004,46.46,,
EU15,European Union - 15 countries (1995-2004),2005,52.93,,
EU15,European Union - 15 countries (1995-2004),2006,53.88,,
EU15,European Union - 15 countries (1995-2004),2007,59.26,,
EU15,European Union - 15 countries (1995-2004),2008,64.28,,
EU15,European Union - 15 countries (1995-2004),2009,69.1,,
EU15,European Union - 15 countries (1995-2004),2010,73.14,,
EU15,European Union - 15 countries (1995-2004),2011,75.71,,
EU15,European Union - 15 countries (1995-2004),2012,78.54,,
EU15,European Union - 15 countries (1995-2004),2013,81.11,,
EU15,European Union - 15 countries (1995-2004),2014,83.38,,
EU15,European Union - 15 countries (1995-2004),2015,84.72,,
EU15,European Union - 15 countries (1995-2004),2016,87.26,,
EU15,European Union - 15 countries (1995-2004),2017,88.54,,
EU15,European Union - 15 countries (1995-2004),2018,90.23,,
EA,Euro area,2002,35.85,,
EA,Euro area,2003,39.95,,
EA,Euro area,2004,44.19,,
EA,Euro area,2005,49.95,,
EA,Euro area,2006,50.97,,
EA,Euro area,2007,56.91,,
EA,Euro area,2008,61.96,,
EA,Euro area,2009,66.74,,
EA,Euro area,2010,71.05,,
EA,Euro area,2011,73.58,,
EA,Euro area,2012,76.23,,
EA,Euro area,2013,79.08,,
EA,Euro area,2014,81.43,,
EA,Euro area,2015,82.83,,
EA,Euro area,2016,85.37,,
EA,Euro area,2017,86.81,,
EA,Euro area,2018,88.91,,
EA,Euro area,2019,90.48,,
EA,Euro area,2020,91.97,e,estimated
EA,Euro area,2021,92.71,b,break in time series
EA,Euro area,2022,92.61,,
EA,Euro area,2023,93.12,,
EA,Euro area,2024,93.95,,
EA,Euro area,2025,94.55,,
BE,Belgium,2005,50.16,,
BE,Belgium,2006,53.96,,
BE,Belgium,2007,60.16,,
BE,Belgium,2008,63.63,,
BE,Belgium,2009,67.44,,
BE,Belgium,2010,72.74,,
BE,Belgium,2011,76.51,,
BE,Belgium,2012,77.71,,
BE,Belgium,2013,80.05,,
BE,Belgium,2014,82.8,,
BE,Belgium,2015,81.83,,
BE,Belgium,2016,84.79,,
BE,Belgium,2017,85.97,,
BE,Belgium,2018,87.27,,
BE,Belgium,2019,89.73,,
BE,Belgium,2020,90.86,,
BE,Belgium,2021,91.97,,
BE,Belgium,2022,94.44,,
BE,Belgium,2023,94.48,,
BE,Belgium,2024,94.62,,
BE,Belgium,2025,94.68,,
BG,Bulgaria,2004,9.65,,
BG,Bulgaria,2006,17.01,,
BG,Bulgaria,2007,18.96,,
BG,Bulgaria,2008,25.29,,
BG,Bulgaria,2009,29.6,,
BG,Bulgaria,2010,33.11,,
BG,Bulgaria,2011,45.0,,
BG,Bulgaria,2012,50.92,,
BG,Bulgaria,2013,53.71,,
BG,Bulgaria,2014,56.65,,
BG,Bulgaria,2015,59.14,,
BG,Bulgaria,2016,63.54,,
BG,Bulgaria,2017,67.33,,
BG,Bulgaria,2018,72.13,,
BG,Bulgaria,2019,75.07,,
BG,Bulgaria,2020,78.85,,
BG,Bulgaria,2021,83.53,,
BG,Bulgaria,2022,87.31,,
BG,Bulgaria,2023,88.5,,
BG,Bulgaria,2024,92.12,,
BG,Bulgaria,2025,92.82,,
CZ,Czechia,2003,14.79,,
CZ,Czechia,2004,19.37,,
CZ,Czechia,2005,19.05,,
CZ,Czechia,2006,29.25,,
CZ,Czechia,2007,35.12,,
CZ,Czechia,2008,45.86,,
CZ,Czechia,2009,54.18,,
CZ,Czechia,2010,60.52,,
CZ,Czechia,2011,66.63,,
CZ,Czechia,2012,72.55,,
CZ,Czechia,2013,72.62,,
CZ,Czechia,2014,77.99,,
CZ,Czechia,2015,78.98,,
CZ,Czechia,2016,81.65,,
CZ,Czechia,2017,83.24,,
CZ,Czechia,2018,86.36,,
CZ,Czechia,2019,87.0,,
CZ,Czechia,2020,88.02,,
CZ,Czechia,2021,89.31,,
CZ,Czechia,2022,91.48,,
CZ,Czechia,2023,92.8,,
CZ,Czechia,2024,94.56,,
CZ,Czechia,2025,95.47,,
DK,Denmark,2002,55.64,,
DK,Denmark,2003,64.19,,
DK,Denmark,2004,69.36,,
DK,Denmark,2005,74.92,,
DK,Denmark,2006,78.73,,
DK,Denmark,2007,78.05,,
DK,Denmark,2008,81.88,,
DK,Denmark,2009,82.53,,
DK,Denmark,2010,86.1,,
DK,Denmark,2011,90.08,,
DK,Denmark,2012,92.0,,
DK,Denmark,2013,92.71,,
DK,Denmark,2014,93.12,,
DK,Denmark,2015,91.74,,
DK,Denmark,2016,94.34,,
DK,Denmark,2017,97.0,,
DK,Denmark,2018,92.66,,
DK,Denmark,2019,95.43,,
DK,Denmark,2020,95.27,,
DK,Denmark,2021,96.14,,
DK,Denmark,2022,95.16,,
DK,Denmark,2023,96.09,,
DK,Denmark,2024,96.92,,
DK,Denmark,2025,97.42,,
DE,Germany,2002,46.14,,
DE,Germany,2003,54.08,,
DE,Germany,2004,60.0,,
DE,Germany,2005,61.64,,
DE,Germany,2006,67.11,,
DE,Germany,2007,70.67,,
DE,Germany,2008,74.88,,
DE,Germany,2009,79.07,,
DE,Germany,2010,82.49,,
DE,Germany,2011,83.25,,
DE,Germany,2012,85.5,,
DE,Germany,2013,87.75,,
DE,Germany,2014,89.47,,
DE,Germany,2015,90.29,,
DE,Germany,2016,92.14,,
DE,Germany,2017,92.86,,
DE,Germany,2018,94.39,,
DE,Germany,2019,94.83,,
DE,Germany,2020,95.8,,
DE,Germany,2021,91.88,b,break in time series
DE,Germany,2022,91.41,,
DE,Germany,2023,91.66,,
DE,Germany,2024,92.65,,
DE,Germany,2025,93.63,,
EE,Estonia,2004,30.76,,
EE,Estonia,2005,36.79,,
EE,Estonia,2006,45.18,,
EE,Estonia,2007,52.2,,
EE,Estonia,2008,57.35,,
EE,Estonia,2009,61.85,,
EE,Estonia,2010,66.89,,
EE,Estonia,2011,69.39,,
EE,Estonia,2012,73.82,,
EE,Estonia,2013,79.31,,
EE,Estonia,2014,82.9,b,break in time series
EE,Estonia,2015,87.73,,
EE,Estonia,2016,86.19,,
EE,Estonia,2017,88.27,,
EE,Estonia,2018,90.47,,
EE,Estonia,2019,90.43,,
EE,Estonia,2020,89.98,,
EE,Estonia,2021,91.82,,
EE,Estonia,2022,92.41,,
EE,Estonia,2023,93.22,,
EE,Estonia,2024,92.89,,
EE,Estonia,2025,95.4,,
IE,Ireland,2003,35.57,,
IE,Ireland,2004,39.73,,
IE,Ireland,2005,47.18,,
IE,Ireland,2006,49.95,,
IE,Ireland,2007,57.27,,
IE,Ireland,2008,63.05,,
IE,Ireland,2009,66.67,,
IE,Ireland,2010,71.69,,
IE,Ireland,2011,78.12,,
IE,Ireland,2012,81.09,,
IE,Ireland,2013,82.39,,
IE,Ireland,2014,82.17,,
IE,Ireland,2015,84.86,,
IE,Ireland,2016,86.91,,
IE,Ireland,2017,88.37,,
IE,Ireland,2018,89.11,,
IE,Ireland,2019,90.59,,
IE,Ireland,2020,91.82,,
IE,Ireland,2021,97.5,b,break in time series
IE,Ireland,2022,,u,low reliability
IE,Ireland,2023,93.92,,
IE,Ireland,2024,92.97,,
IE,Ireland,2025,95.51,,
EL,Greece,2002,12.15,,
EL,Greece,2003,16.3,,
EL,Greece,2004,16.54,,
EL,Greece,2005,21.73,,
EL,Greece,2006,23.12,,
EL,Greece,2007,25.4,,
EL,Greece,2008,30.96,,
EL,Greece,2009,38.06,,
EL,Greece,2010,46.35,,
EL,Greece,2011,50.17,,
EL,Greece,2012,53.58,,
EL,Greece,2013,56.31,,
EL,Greece,2014,65.55,,
EL,Greece,2015,68.09,,
EL,Greece,2016,69.13,,
EL,Greece,2017,70.96,,
EL,Greece,2018,76.49,,
EL,Greece,2019,78.54,,
EL,Greece,2020,80.38,,
EL,Greece,2021,85.07,,
EL,Greece,2022,85.49,,
