geo_code,geo_label,year,pct_individuals_used_internet_3m,flag,flag_desc
EU27_2020,European Union - 27 countries (from 2020),2007,54.98,,
EU27_2020,European Union - 27 countries (from 2020),2008,59.38,,
EU27_2020,European Union - 27 countries (from 2020),2009,62.89,,
EU27_2020,European Union - 27 countries (from 2020),2010,66.5,,
EU27_2020,European Union - 27 countries (from 2020),2011,69.36,,
EU27_2020,European Union - 27 countries (from 2020),2012,71.55,,
EU27_2020,European Union - 27 countries (from 2020),2013,73.34,,
EU27_2020,European Union - 27 countries (from 2020),2014,76.07,,
EU27_2020,European Union - 27 countries (from 2020),2015,77.75,,
EU27_2020,European Union - 27 countries (from 2020),2016,80.15,,
EU27_2020,European Union - 27 countries (from 2020),2017,82.02,,
EU27_2020,European Union - 27 countries (from 2020),2018,83.85,,
EU27_2020,European Union - 27 countries (from 2020),2019,85.93,,
EU27_2020,European Union - 27 countries (from 2020),2020,87.62,e,estimated
EU27_2020,European Union - 27 countries (from 2020),2021,89.0,b,break in time series
EU27_2020,European Union - 27 countries (from 2020),2022,89.94,,
EU27_2020,European Union - 27 countries (from 2020),2023,91.44,,
EU27_2020,European Union - 27 countries (from 2020),2024,92.83,,
EU27_2020,European Union - 27 countries (from 2020),2025,93.79,,
EU28,European Union - 28 countries (2013-2020),2007,56.95,,
EU28,European Union - 28 countries (2013-2020),2008,61.35,,
EU28,European Union - 28 countries (2013-2020),2009,65.14,,
EU28,European Union - 28 countries (2013-2020),2010,68.49,,
EU28,European Union - 28 countries (2013-2020),2011,71.29,,
EU28,European Union - 28 countries (2013-2020),2012,73.47,,
EU28,European Union - 28 countries (2013-2020),2013,75.33,,
EU28,European Union - 28 countries (2013-2020),2014,78.0,,
EU28,European Union - 28 countries (2013-2020),2015,79.42,,
EU28,European Union - 28 countries (2013-2020),2016,81.99,,
EU28,European Union - 28 countries (2013-2020),2017,83.61,,
EU28,European Union - 28 countries (2013-2020),2018,85.24,,
EU28,European Union - 28 countries (2013-2020),2019,87.15,,
EU27_2007,European Union - 27 countries (2007-2013),2004,44.66,,
EU27_2007,European Union - 27 countries (2007-2013),2005,51.25,,
EU27_2007,European Union - 27 countries (2007-2013),2006,51.96,,
EU27_2007,European Union - 27 countries (2007-2013),2007,57.12,,
EU27_2007,European Union - 27 countries (2007-2013),2008,61.53,,
EU27_2007,European Union - 27 countries (2007-2013),2009,65.3,,
EU27_2007,European Union - 27 countries (2007-2013),2010,68.62,,
EU27_2007,European Union - 27 countries (2007-2013),2011,71.41,,
EU27_2007,European Union - 27 countries (2007-2013),2012,73.58,,
EU27_2007,European Union - 27 countries (2007-2013),2013,75.41,,
EU27_2007,European Union - 27 countries (2007-2013),2014,78.08,,
EU27_2007,European Union - 27 countries (2007-2013),2015,79.5,,
EU27_2007,European Union - 27 countries (2007-2013),2016,82.07,,
EU27_2007,European Union - 27 countries (2007-2013),2017,83.75,,
EU27_2007,European Union - 27 countries (2007-2013),2018,85.32,,
EU25,European Union - 25 countries (2004-2006),2004,47.12,,
EU25,European Union - 25 countries (2004-2006),2005,51.25,,
EU25,European Union - 25 countries (2004-2006),2006,53.85,,
EU25,European Union - 25 countries (2004-2006),2007,59.16,,
EU25,European Union - 25 countries (2004-2006),2008,63.59,,
EU25,European Union - 25 countries (2004-2006),2009,67.24,,
EU25,European Union - 25 countries (2004-2006),2010,70.59,,
EU15,European Union - 15 countries (1995-2004),2002,41.46,,
EU15,European Union - 15 countries (1995-2004),2003,46.77,,
EU15,European Union - 15 countries (1995-2004),2004,51.0,,
EU15,European Union - 15 countries (1995-2004),2005,54.72,,
EU15,European Union - 15 countries (1995-2004),2006,55.97,,
EU15,European Union - 15 countries (1995-2004),2007,61.43,,
EU15,European Union - 15 countries (1995-2004),2008,65.52,,
