geo_code,geo_label,year,age_group,pct_individuals_used_internet_3m,flag,flag_desc
EU27_2020,European Union - 27 countries (from 2020),2021,16-24,97.76,b,break in time series
EU27_2020,European Union - 27 countries (from 2020),2022,16-24,97.86,,
EU27_2020,European Union - 27 countries (from 2020),2023,16-24,98.38,,
EU27_2020,European Union - 27 countries (from 2020),2024,16-24,98.56,,
EU27_2020,European Union - 27 countries (from 2020),2025,16-24,98.81,,
EA,Euro area,2021,16-24,97.63,b,break in time series
EA,Euro area,2022,16-24,97.8,,
EA,Euro area,2023,16-24,98.33,,
EA,Euro area,2024,16-24,98.51,,
EA,Euro area,2025,16-24,98.69,,
BE,Belgium,2021,16-24,99.11,,
BE,Belgium,2022,16-24,97.09,,
BE,Belgium,2023,16-24,98.12,,
BE,Belgium,2024,16-24,98.8,,
BE,Belgium,2025,16-24,99.63,,
BG,Bulgaria,2021,16-24,92.88,,
BG,Bulgaria,2022,16-24,95.07,,
BG,Bulgaria,2023,16-24,93.55,,
BG,Bulgaria,2024,16-24,93.86,,
BG,Bulgaria,2025,16-24,98.22,,
CZ,Czechia,2021,16-24,99.28,,
CZ,Czechia,2022,16-24,99.67,,
CZ,Czechia,2023,16-24,99.78,,
CZ,Czechia,2024,16-24,99.7,,
CZ,Czechia,2025,16-24,99.62,,
DK,Denmark,2021,16-24,99.49,,
DK,Denmark,2022,16-24,99.61,,
DK,Denmark,2023,16-24,99.55,,
DK,Denmark,2024,16-24,99.71,,
DK,Denmark,2025,16-24,99.1,,
DE,Germany,2021,16-24,97.52,b,break in time series
DE,Germany,2022,16-24,96.38,,
DE,Germany,2023,16-24,96.77,,
DE,Germany,2024,16-24,97.14,,
DE,Germany,2025,16-24,96.55,,
EE,Estonia,2021,16-24,99.83,,
EE,Estonia,2022,16-24,98.88,,
EE,Estonia,2023,16-24,99.75,,
EE,Estonia,2024,16-24,99.64,,
EE,Estonia,2025,16-24,100.0,,
IE,Ireland,2021,16-24,,bu,"break in time series, low reliability"
IE,Ireland,2022,16-24,,u,low reliability
IE,Ireland,2023,16-24,100.0,u,low reliability
IE,Ireland,2024,16-24,100.0,u,low reliability
IE,Ireland,2025,16-24,100.0,,
EL,Greece,2021,16-24,98.93,,
EL,Greece,2022,16-24,99.44,,
EL,Greece,2023,16-24,98.36,,
EL,Greece,2024,16-24,99.0,,
EL,Greece,2025,16-24,100.0,,
ES,Spain,2021,16-24,99.66,,
ES,Spain,2022,16-24,99.78,,
ES,Spain,2023,16-24,99.79,,
ES,Spain,2024,16-24,99.75,,
ES,Spain,2025,16-24,99.67,,
FR,France,2021,16-24,97.8,,
FR,France,2022,16-24,98.85,,
FR,France,2023,16-24,97.89,,
FR,France,2024,16-24,98.29,,
FR,France,2025,16-24,99.24,,
HR,Croatia,2021,16-24,100.0,,
HR,Croatia,2022,16-24,98.36,,
HR,Croatia,2023,16-24,99.82,,
HR,Croatia,2024,16-24,99.84,,
HR,Croatia,2025,16-24,99.35,,
IT,Italy,2021,16-24,95.0,,
IT,Italy,2022,16-24,96.56,,
IT,Italy,2023,16-24,98.11,,
IT,Italy,2024,16-24,97.91,,
IT,Italy,2025,16-24,98.29,,
CY,Cyprus,2021,16-24,98.94,,
CY,Cyprus,2022,16-24,98.81,,
CY,Cyprus,2023,16-24,99.34,,
CY,Cyprus,2024,16-24,99.91,,
CY,Cyprus,2025,16-24,98.46,,
LV,Latvia,2021,16-24,99.24,,
LV,Latvia,2022,16-24,99.58,,
LV,Latvia,2023,16-24,100.0,,
LV,Latvia,2024,16-24,99.27,,
LV,Latvia,2025,16-24,99.48,,
LT,Lithuania,2021,16-24,100.0,,
LT,Lithuania,2022,16-24,99.77,,
LT,Lithuania,2023,16-24,99.56,,
LT,Lithuania,2024,16-24,98.86,,
LT,Lithuania,2025,16-24,98.81,,
LU,Luxembourg,2021,16-24,100.0,,
LU,Luxembourg,2022,16-24,100.0,,
LU,Luxembourg,2023,16-24,100.0,,
LU,Luxembourg,2024,16-24,100.0,,
LU,Luxembourg,2025,16-24,100.0,,
HU,Hungary,2021,16-24,98.52,,
HU,Hungary,2022,16-24,98.55,,
HU,Hungary,2023,16-24,99.47,,
HU,Hungary,2024,16-24,99.92,,
HU,Hungary,2025,16-24,98.67,,
MT,Malta,2021,16-24,99.4,,
MT,Malta,2022,16-24,100.0,,
MT,Malta,2023,16-24,99.43,,
MT,Malta,2024,16-24,100.0,,
MT,Malta,2025,16-24,100.0,,
NL,Netherlands,2021,16-24,95.31,,
NL,Netherlands,2022,16-24,93.98,,
NL,Netherlands,2023,16-24,100.0,,
NL,Netherlands,2024,16-24,100.0,,
NL,Netherlands,2025,16-24,100.0,,
AT,Austria,2021,16-24,100.0,,
AT,Austria,2022,16-24,100.0,,
AT,Austria,2023,16-24,99.85,,
AT,Austria,2024,16-24,100.0,,
AT,Austria,2025,16-24,100.0,,
PL,Poland,2021,16-24,98.39,,
PL,Poland,2022,16-24,99.26,,
PL,Poland,2023,16-24,98.9,,
PL,Poland,2024,16-24,99.5,,
PL,Poland,2025,16-24,99.69,,
PT,Portugal,2021,16-24,99.69,,
PT,Portugal,2022,16-24,100.0,,
PT,Portugal,2023,16-24,100.0,,
PT,Portugal,2024,16-24,99.97,,
PT,Portugal,2025,16-24,99.8,,
RO,Romania,2021,16-24,97.28,,
RO,Romania,2022,16-24,96.34,,
RO,Romania,2023,16-24,97.82,,
RO,Romania,2024,16-24,97.37,,
RO,Romania,2025,16-24,98.63,,
SI,Slovenia,2021,16-24,97.68,,
SI,Slovenia,2022,16-24,98.73,,
SI,Slovenia,2023,16-24,100.0,,
SI,Slovenia,2024,16-24,99.65,,
SI,Slovenia,2025,16-24,99.57,,
SK,Slovakia,2021,16-24,96.79,,
SK,Slovakia,2022,16-24,97.19,,
SK,Slovakia,2023,16-24,98.41,,
SK,Slovakia,2024,16-24,97.63,,
SK,Slovakia,2025,16-24,98.82,,
FI,Finland,2021,16-24,100.0,,
FI,Finland,2022,16-24,100.0,,
FI,Finland,2023,16-24,100.0,,
FI,Finland,2024,16-24,100.0,,
FI,Finland,2025,16-24,100.0,,
SE,Sweden,2021,16-24,99.7,,
SE,Sweden,2022,16-24,96.7,,
SE,Sweden,2023,16-24,99.08,,
SE,Sweden,2024,16-24,99.33,,
SE,Sweden,2025,16-24,99.68,,
IS,Iceland,2021,16-24,100.0,,
NO,Norway,2021,16-24,100.0,,
NO,Norway,2022,16-24,100.0,,
NO,Norway,2023,16-24,100.0,,
NO,Norway,2024,16-24,100.0,,
NO,Norway,2025,16-24,99.45,,
CH,Switzerland,2021,16-24,99.71,,
CH,Switzerland,2023,16-24,100.0,,
CH,Switzerland,2025,16-24,100.0,,
BA,Bosnia and Herzegovina,2021,16-24,99.48,,
BA,Bosnia and Herzegovina,2023,16-24,99.28,,
BA,Bosnia and Herzegovina,2024,16-24,99.7,,
BA,Bosnia and Herzegovina,2025,16-24,99.69,,
ME,Montenegro,2021,16-24,98.56,,
ME,Montenegro,2022,16-24,98.41,,
ME,Montenegro,2023,16-24,99.36,,
ME,Montenegro,2024,16-24,97.06,,
ME,Montenegro,2025,16-24,97.77,,
MK,North Macedonia,2021,16-24,99.53,,
MK,North Macedonia,2024,16-24,100.0,,
MK,North Macedonia,2025,16-24,100.0,,
AL,Albania,2021,16-24,96.4,,
AL,Albania,2022,16-24,96.6,,
AL,Albania,2023,16-24,99.14,,
AL,Albania,2024,16-24,99.5,,
AL,Albania,2025,16-24,99.81,,
RS,Serbia,2021,16-24,98.26,,
RS,Serbia,2022,16-24,100.0,,
RS,Serbia,2023,16-24,100.0,,
RS,Serbia,2024,16-24,98.09,,
RS,Serbia,2025,16-24,100.0,,
TR,Türkiye,2021,16-24,95.71,,
TR,Türkiye,2022,16-24,95.49,,
TR,Türkiye,2023,16-24,96.63,,
TR,Türkiye,2024,16-24,96.49,,
TR,Türkiye,2025,16-24,97.79,,
XK,Kosovo*,2024,16-24,98.81,,
XK,Kosovo*,2025,16-24,100.0,,
EU27_2020,European Union - 27 countries (from 2020),2021,25-54,95.22,b,break in time series
EU27_2020,European Union - 27 countries (from 2020),2022,25-54,95.73,,
EU27_2020,European Union - 27 countries (from 2020),2023,25-54,96.53,,
EU27_2020,European Union - 27 countries (from 2020),2024,25-54,96.93,,
EU27_2020,European Union - 27 countries (from 2020),2025,25-54,97.53,,
EA,Euro area,2021,25-54,95.15,b,break in time series
EA,Euro area,2022,25-54,95.69,,
EA,Euro area,2023,25-54,96.51,,
EA,Euro area,2024,25-54,96.85,,
EA,Euro area,2025,25-54,97.5,,
BE,Belgium,2021,25-54,96.04,,
BE,Belgium,2022,25-54,96.38,,
BE,Belgium,2023,25-54,97.46,,
BE,Belgium,2024,25-54,98.66,,
BE,Belgium,2025,25-54,98.57,,
BG,Bulgaria,2021,25-54,87.91,,
BG,Bulgaria,2022,25-54,89.77,,
BG,Bulgaria,2023,25-54,91.67,,
BG,Bulgaria,2024,25-54,92.71,,
BG,Bulgaria,2025,25-54,94.82,,
CZ,Czechia,2021,25-54,97.59,,
CZ,Czechia,2022,25-54,98.43,,
CZ,Czechia,2023,25-54,98.73,,
CZ,Czechia,2024,25-54,98.95,,
CZ,Czechia,2025,25-54,98.77,,
DK,Denmark,2021,25-54,99.73,,
DK,Denmark,2022,25-54,98.98,,
DK,Denmark,2023,25-54,99.37,,
DK,Denmark,2024,25-54,99.9,,
DK,Denmark,2025,25-54,99.87,,
DE,Germany,2021,25-54,96.21,b,break in time series
DE,Germany,2022,25-54,95.41,,
DE,Germany,2023,25-54,95.98,,
DE,Germany,2024,25-54,96.1,,
DE,Germany,2025,25-54,97.07,,
EE,Estonia,2021,25-54,97.38,,
EE,Estonia,2022,25-54,98.11,,
EE,Estonia,2023,25-54,98.18,,
EE,Estonia,2024,25-54,97.7,,
EE,Estonia,2025,25-54,99.11,,
IE,Ireland,2021,25-54,99.18,b,break in time series
IE,Ireland,2022,25-54,99.17,,
IE,Ireland,2023,25-54,99.83,,
IE,Ireland,2024,25-54,99.59,,
IE,Ireland,2025,25-54,100.0,,
EL,Greece,2021,25-54,91.56,,
EL,Greece,2022,25-54,91.74,,
EL,Greece,2023,25-54,94.26,,
EL,Greece,2024,25-54,94.72,,
EL,Greece,2025,25-54,97.77,,
ES,Spain,2021,25-54,98.49,,
ES,Spain,2022,25-54,98.41,,
ES,Spain,2023,25-54,98.65,,
ES,Spain,2024,25-54,98.51,,
ES,Spain,2025,25-54,98.59,,
FR,France,2021,25-54,96.07,,
FR,France,2022,25-54,96.58,,
FR,France,2023,25-54,97.05,,
FR,France,2024,25-54,97.09,,
FR,France,2025,25-54,97.89,,
HR,Croatia,2021,25-54,95.25,,
HR,Croatia,2022,25-54,95.69,,
HR,Croatia,2023,25-54,96.42,,
HR,Croatia,2024,25-54,95.86,,
HR,Croatia,2025,25-54,96.49,,
IT,Italy,2021,25-54,89.08,,
IT,Italy,2022,25-54,91.86,,
IT,Italy,2023,25-54,93.0,,
IT,Italy,2024,25-54,94.31,,
IT,Italy,2025,25-54,94.8,,
CY,Cyprus,2021,25-54,98.07,,
CY,Cyprus,2022,25-54,96.03,,
CY,Cyprus,2023,25-54,98.36,,
CY,Cyprus,2024,25-54,98.97,,
CY,Cyprus,2025,25-54,99.0,,
LV,Latvia,2021,25-54,97.1,,
LV,Latvia,2022,25-54,97.36,,
LV,Latvia,2023,25-54,98.07,,
LV,Latvia,2024,25-54,97.91,,
LV,Latvia,2025,25-54,98.65,,
LT,Lithuania,2021,25-54,95.07,,
LT,Lithuania,2022,25-54,96.31,,
LT,Lithuania,2023,25-54,95.88,,
LT,Lithuania,2024,25-54,96.62,,
LT,Lithuania,2025,25-54,97.02,,
LU,Luxembourg,2021,25-54,99.58,,
LU,Luxembourg,2022,25-54,99.7,,
LU,Luxembourg,2023,25-54,99.86,,
LU,Luxembourg,2024,25-54,99.73,,
LU,Luxembourg,2025,25-54,100.0,,
HU,Hungary,2021,25-54,96.5,,
HU,Hungary,2022,25-54,96.87,,
HU,Hungary,2023,25-54,97.45,,
HU,Hungary,2024,25-54,98.53,,
HU,Hungary,2025,25-54,97.03,,
MT,Malta,2021,25-54,96.93,,
MT,Malta,2022,25-54,97.93,,
MT,Malta,2023,25-54,98.33,,
MT,Malta,2024,25-54,98.8,,
MT,Malta,2025,25-54,99.73,,
NL,Netherlands,2021,25-54,95.63,,
NL,Netherlands,2022,25-54,95.87,,
NL,Netherlands,2023,25-54,99.66,,
NL,Netherlands,2024,25-54,99.95,,
NL,Netherlands,2025,25-54,99.88,,
AT,Austria,2021,25-54,98.54,,
AT,Austria,2022,25-54,98.75,,
AT,Austria,2023,25-54,99.19,,
AT,Austria,2024,25-54,98.7,,
AT,Austria,2025,25-54,98.94,,
PL,Poland,2021,25-54,96.0,,
PL,Poland,2022,25-54,96.32,,
PL,Poland,2023,25-54,96.53,,
PL,Poland,2024,25-54,96.97,,
PL,Poland,2025,25-54,97.45,,
PT,Portugal,2021,25-54,92.93,,
PT,Portugal,2022,25-54,94.64,,
PT,Portugal,2023,25-54,95.67,,
PT,Portugal,2024,25-54,96.88,,
PT,Portugal,2025,25-54,97.61,,
RO,Romania,2021,25-54,92.75,,
RO,Romania,2022,25-54,92.95,,
RO,Romania,2023,25-54,95.31,,
RO,Romania,2024,25-54,95.79,,
RO,Romania,2025,25-54,97.3,,
SI,Slovenia,2021,25-54,96.85,,
SI,Slovenia,2022,25-54,97.38,,
SI,Slovenia,2023,25-54,97.98,,
SI,Slovenia,2024,25-54,98.14,,
SI,Slovenia,2025,25-54,98.57,,
SK,Slovakia,2021,25-54,95.19,,
SK,Slovakia,2022,25-54,96.55,,
SK,Slovakia,2023,25-54,95.57,,
SK,Slovakia,2024,25-54,96.09,,
SK,Slovakia,2025,25-54,97.42,,
FI,Finland,2021,25-54,99.54,,
FI,Finland,2022,25-54,99.7,,
FI,Finland,2023,25-54,99.84,,
FI,Finland,2024,25-54,100.0,,
FI,Finland,2025,25-54,99.92,,
SE,Sweden,2021,25-54,98.38,,
SE,Sweden,2022,25-54,98.58,,
SE,Sweden,2023,25-54,97.98,,
SE,Sweden,2024,25-54,98.81,,
SE,Sweden,2025,25-54,98.94,,
IS,Iceland,2021,25-54,99.9,,
NO,Norway,2021,25-54,100.0,,
NO,Norway,2022,25-54,99.89,,
NO,Norway,2023,25-54,99.92,,
NO,Norway,2024,25-54,99.92,,
NO,Norway,2025,25-54,98.4,,
CH,Switzerland,2021,25-54,99.08,,
CH,Switzerland,2023,25-54,99.89,,
CH,Switzerland,2025,25-54,99.36,,
BA,Bosnia and Herzegovina,2021,25-54,92.0,,
BA,Bosnia and Herzegovina,2023,25-54,96.34,,
BA,Bosnia and Herzegovina,2024,25-54,98.31,,
BA,Bosnia and Herzegovina,2025,25-54,98.55,,
ME,Montenegro,2021,25-54,93.81,,
ME,Montenegro,2022,25-54,95.42,,
ME,Montenegro,2023,25-54,96.19,,
ME,Montenegro,2024,25-54,97.18,,
ME,Montenegro,2025,25-54,96.02,,
MK,North Macedonia,2021,25-54,95.87,,
MK,North Macedonia,2024,25-54,98.24,,
MK,North Macedonia,2025,25-54,97.2,,
AL,Albania,2021,25-54,87.71,,
AL,Albania,2022,25-54,90.7,,
AL,Albania,2023,25-54,90.52,,
AL,Albania,2024,25-54,94.65,,
AL,Albania,2025,25-54,95.45,,
RS,Serbia,2021,25-54,95.79,,
RS,Serbia,2022,25-54,98.25,,
RS,Serbia,2023,25-54,97.73,,
RS,Serbia,2024,25-54,98.87,,
RS,Serbia,2025,25-54,98.89,,
TR,Türkiye,2021,25-54,89.54,,
TR,Türkiye,2022,25-54,91.31,,
TR,Türkiye,2023,25-54,93.88,,
TR,Türkiye,2024,25-54,94.43,,
TR,Türkiye,2025,25-54,96.08,,
XK,Kosovo*,2024,25-54,98.3,,
XK,Kosovo*,2025,25-54,99.58,,
EU27_2020,European Union - 27 countries (from 2020),2021,55-74,75.94,b,break in time series
EU27_2020,European Union - 27 countries (from 2020),2022,55-74,77.74,,
EU27_2020,European Union - 27 countries (from 2020),2023,55-74,80.91,,
EU27_2020,European Union - 27 countries (from 2020),2024,55-74,84.35,,
EU27_2020,European Union - 27 countries (from 2020),2025,55-74,86.17,,
EA,Euro area,2021,55-74,78.43,b,break in time series
EA,Euro area,2022,55-74,79.79,,
EA,Euro area,2023,55-74,82.6,,
EA,Euro area,2024,55-74,85.76,,
EA,Euro area,2025,55-74,87.5,,
BE,Belgium,2021,55-74,84.61,,
BE,Belgium,2022,55-74,88.76,,
BE,Belgium,2023,55-74,88.53,,
BE,Belgium,2024,55-74,89.86,,
BE,Belgium,2025,55-74,91.88,,
BG,Bulgaria,2021,55-74,49.93,,
BG,Bulgaria,2022,55-74,57.16,,
BG,Bulgaria,2023,55-74,60.44,,
BG,Bulgaria,2024,55-74,64.36,,
BG,Bulgaria,2025,55-74,72.19,,
CZ,Czechia,2021,55-74,69.87,,
CZ,Czechia,2022,55-74,74.04,,
CZ,Czechia,2023,55-74,77.7,,
CZ,Czechia,2024,55-74,82.24,,
CZ,Czechia,2025,55-74,85.16,,
DK,Denmark,2021,55-74,97.27,,
DK,Denmark,2022,55-74,95.27,,
DK,Denmark,2023,55-74,97.52,,
DK,Denmark,2024,55-74,99.58,,
DK,Denmark,2025,55-74,99.72,,
DE,Germany,2021,55-74,82.67,b,break in time series
DE,Germany,2022,55-74,84.66,,
DE,Germany,2023,55-74,85.96,,
DE,Germany,2024,55-74,88.61,,
DE,Germany,2025,55-74,90.42,,
EE,Estonia,2021,55-74,76.78,,
EE,Estonia,2022,55-74,77.49,,
EE,Estonia,2023,55-74,82.01,,
EE,Estonia,2024,55-74,79.87,,
EE,Estonia,2025,55-74,85.46,,
IE,Ireland,2021,55-74,98.48,b,break in time series
IE,Ireland,2022,55-74,73.56,,
IE,Ireland,2023,55-74,77.62,,
IE,Ireland,2024,55-74,95.95,,
IE,Ireland,2025,55-74,99.15,,
EL,Greece,2021,55-74,52.05,,
EL,Greece,2022,55-74,57.48,,
EL,Greece,2023,55-74,65.7,,
